DATE,CEU0500000003
2006-03-01,20.07
2006-04-01,20.36
2006-05-01,20.06
2006-06-01,20.04
2006-07-01,20.28
2006-08-01,20.12
2006-09-01,20.35
2006-10-01,20.51
2006-11-01,20.44
2006-12-01,20.60
2007-01-01,20.69
2007-02-01,20.77
2007-03-01,20.75
2007-04-01,20.99
2007-05-01,20.77
2007-06-01,20.77
2007-07-01,20.94
2007-08-01,20.79
2007-09-01,21.12
2007-10-01,21.01
2007-11-01,21.07
2007-12-01,21.30
2008-01-01,21.29
2008-02-01,21.36
2008-03-01,21.52
2008-04-01,21.43
2008-05-01,21.40
2008-06-01,21.48
2008-07-01,21.44
2008-08-01,21.49
2008-09-01,21.68
2008-10-01,21.71
2008-11-01,21.96
2008-12-01,21.96
2009-01-01,22.05
2009-02-01,22.22
2009-03-01,22.22
2009-04-01,22.13
2009-05-01,22.04
2009-06-01,21.95
2009-07-01,22.00
2009-08-01,22.16
2009-09-01,22.20
2009-10-01,22.26
2009-11-01,22.44
2009-12-01,22.38
2010-01-01,22.51
2010-02-01,22.57
2010-03-01,22.48
2010-04-01,22.53
2010-05-01,22.60
2010-06-01,22.34
2010-07-01,22.41
2010-08-01,22.54
2010-09-01,22.60
2010-10-01,22.69
2010-11-01,22.69
2010-12-01,22.76
2011-01-01,23.16
2011-02-01,22.99
2011-03-01,22.90
2011-04-01,22.96
2011-05-01,23.05
2011-06-01,22.81
2011-07-01,22.94
2011-08-01,22.84
2011-09-01,23.05
2011-10-01,23.29
2011-11-01,23.14
2011-12-01,23.21
2012-01-01,23.55
2012-02-01,23.40
2012-03-01,23.38
2012-04-01,23.61
2012-05-01,23.32
2012-06-01,23.26
2012-07-01,23.48
2012-08-01,23.26
2012-09-01,23.67
2012-10-01,23.51
2012-11-01,23.58
2012-12-01,23.85
2013-01-01,23.87
2013-02-01,23.90
2013-03-01,23.84
2013-04-01,23.92
2013-05-01,23.79
2013-06-01,23.92
2013-07-01,23.80
2013-08-01,23.79
2013-09-01,24.16
2013-10-01,24.04
2013-11-01,24.11
2013-12-01,24.30
2014-01-01,24.34
2014-02-01,24.58
2014-03-01,24.49
2014-04-01,24.40
2014-05-01,24.30
2014-06-01,24.42
2014-07-01,24.30
2014-08-01,24.32
2014-09-01,24.50
2014-10-01,24.52
2014-11-01,24.78
2014-12-01,24.58
2015-01-01,24.87
2015-02-01,25.05
2015-03-01,25.04
2015-04-01,24.94
2015-05-01,24.88
2015-06-01,24.76
2015-07-01,24.83
2015-08-01,25.03
2015-09-01,25.05
2015-10-01,25.14
2015-11-01,25.37
2015-12-01,25.20
2016-01-01,25.50
2016-02-01,25.48
2016-03-01,25.49
2016-04-01,25.59
2016-05-01,25.67
2016-06-01,25.41
2016-07-01,25.52
2016-08-01,25.50
2016-09-01,25.73
2016-10-01,26.02
2016-11-01,25.84
2016-12-01,25.87
2017-01-01,26.31
2017-02-01,26.17
2017-03-01,26.14
2017-04-01,26.42
2017-05-01,26.13
2017-06-01,26.03
2017-07-01,26.35
2017-08-01,26.17
2017-09-01,26.46
2017-10-01,26.62
2017-11-01,26.47
2017-12-01,26.58
2018-01-01,26.86
2018-02-01,26.84
2018-03-01,26.87
2018-04-01,27.16
2018-05-01,26.90
2018-06-01,26.79
2018-07-01,27.10
2018-08-01,27.00
2018-09-01,27.45
2018-10-01,27.31
2018-11-01,27.35
2018-12-01,27.69
2019-01-01,27.72
2019-02-01,27.79
2019-03-01,27.79
2019-04-01,27.86
2019-05-01,27.78
2019-06-01,27.90
2019-07-01,27.86
2019-08-01,27.94
2019-09-01,28.30
2019-10-01,28.19
2019-11-01,28.26
2019-12-01,28.51
2020-01-01,28.56
2020-02-01,28.81
2020-03-01,28.91
2020-04-01,30.11
2020-05-01,29.64
2020-06-01,29.11
2020-07-01,29.22
2020-08-01,29.51
2020-09-01,29.46
2020-10-01,29.47
2020-11-01,29.76
2020-12-01,29.84
2021-01-01,30.06
2021-02-01,30.13
2021-03-01,30.03
2021-04-01,30.30
2021-05-01,30.52
2021-06-01,30.27
2021-07-01,30.48
2021-08-01,30.79
2021-09-01,30.88
2021-10-01,31.07
2021-11-01,31.10
2021-12-01,31.29
2022-01-01,31.93
2022-02-01,31.69
2022-03-01,31.72
2022-04-01,31.95
2022-05-01,32.13
2022-06-01,31.84
2022-07-01,32.11
2022-08-01,32.16
2022-09-01,32.40
2022-10-01,32.78
2022-11-01,32.62
2022-12-01,32.73
